POW_SA2_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
101021007,7,18,32,21,22,21,9,18,3,146,4,17,31,11,20,38,8,39,3,174,8,11,10,17,18,27,18,34,4,142,0,9,10,6,12,27,18,35,0,122,0,0,3,3,8,18,5,23,3,73,3,3,8,9,17,26,10,54,0,124,0,4,0,0,0,0,3,8,0,14,0,4,3,5,5,6,0,19,0,53,3,3,0,0,0,0,0,5,5,19,64,232,176,124,131,228,86,298,34,1373
101021008,6,10,15,14,44,28,4,12,0,119,4,5,11,19,41,36,13,7,0,142,4,5,9,11,28,33,11,11,3,110,4,8,0,4,30,36,12,27,0,126,0,3,0,0,14,32,10,18,0,93,4,4,3,0,11,34,20,38,0,116,0,0,4,0,0,9,0,12,0,20,0,3,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,9,8,27,144,90,67,191,233,68,159,14,986
101021009,16,49,88,96,237,112,31,27,12,671,36,51,81,70,292,193,36,68,7,837,25,25,44,38,193,156,45,61,6,594,18,15,23,36,157,142,49,62,5,514,27,9,18,30,143,100,41,83,8,444,29,5,33,17,208,182,73,135,4,698,8,5,3,0,16,23,18,30,0,100,3,3,14,6,10,50,12,61,0,166,5,0,0,0,8,8,3,3,18,41,247,737,700,415,1437,1070,340,562,75,5582
101021010,21,17,40,37,105,89,23,37,7,375,23,22,35,41,151,192,54,63,9,578,15,16,17,16,94,156,57,76,6,464,9,7,12,12,71,93,36,97,3,341,0,6,5,4,44,66,28,80,6,235,8,7,6,9,39,75,41,97,3,291,0,3,3,5,7,10,11,30,0,67,0,3,0,3,6,11,3,29,0,60,0,5,3,0,6,9,0,5,6,36,109,347,283,172,595,775,274,546,53,3159
101021012,7,9,25,34,75,88,10,24,0,289,14,14,28,31,101,134,27,45,3,392,11,4,12,17,61,102,27,54,3,299,8,5,7,14,56,81,32,61,0,256,3,5,3,13,20,66,27,49,0,189,7,8,5,9,29,87,50,112,0,309,0,0,7,0,4,12,10,38,0,80,0,0,5,8,3,23,15,44,0,97,0,4,0,3,0,4,0,4,8,25,91,324,246,169,415,672,209,452,30,2608
101021610,0,3,11,9,18,14,6,3,0,71,7,8,4,6,35,26,9,12,0,98,4,0,7,7,16,17,3,5,3,55,0,0,0,0,8,21,6,15,4,59,0,0,3,3,3,11,9,9,0,37,0,0,3,0,7,21,4,16,0,68,0,0,0,0,0,3,0,5,0,11,0,0,0,0,0,11,4,0,0,21,0,0,0,0,0,0,0,0,0,0,26,93,79,43,118,130,45,72,12,600
101021611,4,35,42,31,57,51,12,29,5,258,5,27,30,25,77,99,15,45,0,335,16,19,13,11,36,67,27,58,10,250,12,19,22,20,61,88,21,70,7,317,8,14,14,9,29,91,30,37,5,235,34,14,21,19,70,167,83,156,0,559,4,6,5,3,12,57,26,47,0,166,11,14,9,15,16,50,31,71,0,212,0,7,3,0,0,3,0,5,7,32,142,516,300,203,417,736,265,579,51,3207
101031013,4,11,12,11,27,26,13,17,0,127,5,5,18,6,34,29,14,32,3,148,6,0,7,7,27,29,8,30,4,116,3,4,3,7,15,28,19,30,0,110,0,3,3,0,8,18,3,31,0,82,8,0,0,0,14,27,13,18,0,85,0,0,0,0,0,9,0,3,0,13,0,3,0,0,10,3,7,7,0,22,0,0,0,0,0,0,0,0,0,10,39,132,126,79,171,203,82,219,26,1080
101031014,17,39,65,79,167,92,12,38,4,511,26,18,57,45,168,123,34,55,5,533,21,11,41,30,130,97,35,69,3,444,8,12,15,24,73,75,24,59,4,307,11,3,4,15,79,58,21,68,0,269,24,17,11,16,105,131,41,147,6,498,3,5,3,0,18,34,12,64,0,146,9,4,4,9,13,38,18,104,0,193,0,7,5,3,3,6,0,0,17,46,184,544,489,336,882,737,220,667,66,4126
101031015,0,9,8,8,9,20,5,20,0,73,3,5,9,7,9,18,9,28,0,82,0,9,0,4,12,15,5,20,0,73,0,7,5,0,5,14,3,28,0,61,8,0,0,0,5,7,3,14,0,35,0,0,5,3,9,20,3,42,0,88,0,0,0,0,0,4,4,18,0,25,7,0,5,4,0,9,3,20,0,36,0,0,0,0,0,0,0,0,0,6,31,118,77,37,63,137,49,243,13,759
