POW_SA2_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
101021007,3,20,17,7,7,12,0,25,5,96,0,14,7,10,6,7,5,14,0,58,0,14,11,0,7,9,0,6,4,48,64,232,176,124,131,228,86,298,34,1373
101021008,0,5,3,0,6,6,0,5,0,25,0,0,5,3,0,0,0,4,0,11,0,7,0,0,0,0,0,0,0,13,27,144,90,67,191,233,68,159,14,986
101021009,20,32,31,9,33,21,7,25,5,185,4,21,10,8,5,3,0,5,0,57,0,4,5,0,0,0,0,0,0,26,247,737,700,415,1437,1070,340,562,75,5582
101021010,4,19,21,5,18,25,9,15,0,102,3,10,4,3,5,0,7,3,0,37,0,15,3,3,3,0,0,0,0,22,109,347,283,172,595,775,274,546,53,3159
101021012,5,16,6,6,8,17,0,9,3,72,0,16,6,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,8,91,324,246,169,415,672,209,452,30,2608
101021610,3,3,3,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,93,79,43,118,130,45,72,12,600
101021611,10,47,23,9,13,19,6,30,4,162,6,24,8,10,9,26,0,10,0,95,0,15,22,12,3,8,0,7,0,64,142,516,300,203,417,736,265,579,51,3207
101031013,6,10,10,0,0,6,4,21,0,57,0,9,11,0,3,11,4,9,0,47,0,11,4,0,0,0,4,0,4,29,39,132,126,79,171,203,82,219,26,1080
101031014,11,34,34,16,17,27,3,21,0,165,4,25,9,0,8,14,0,9,0,72,6,14,5,0,3,7,4,3,4,37,184,544,489,336,882,737,220,667,66,4126
101031015,4,15,10,0,3,13,0,21,0,61,0,11,10,0,0,5,0,14,0,35,0,7,7,3,0,15,4,14,0,54,31,118,77,37,63,137,49,243,13,759
101031016,9,38,24,6,7,19,10,43,0,154,3,25,17,3,4,10,0,11,0,80,7,11,10,0,0,4,0,15,6,53,192,992,917,540,778,755,298,767,88,5327
101041017,18,57,39,22,33,11,7,21,0,217,0,41,17,5,8,12,0,7,0,86,3,11,4,0,5,3,0,0,4,28,277,781,625,441,1083,815,209,472,103,4801
101041018,3,27,15,6,11,7,0,8,7,86,0,12,8,0,0,6,0,0,0,30,3,6,3,0,0,9,0,0,0,19,67,270,214,155,222,229,42,133,36,1379
101041019,24,69,42,23,36,28,5,10,4,248,7,27,14,7,0,3,0,7,5,68,4,14,6,3,3,3,0,6,5,38,304,844,794,507,1153,1047,284,526,120,5573
101041020,11,32,20,17,9,17,0,34,0,143,4,27,6,10,4,7,5,31,0,99,8,15,10,3,7,8,5,16,3,65,74,319,232,150,167,242,79,356,44,1667
101041021,3,15,3,0,5,7,0,0,0,27,3,3,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,49,191,147,127,153,157,35,79,18,953
